Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
260.0,9100.0,9.3,0.56,6.92
265.0,9275.0,8.6,0.48,6.97
270.0,9450.0,9.5,0.8,7.01
275.0,9625.0,9.8,0.79,7.06
280.0,9800.0,10.1,0.66,7.11
285.0,9975.0,9.3,0.78,7.16
290.0,10150.0,10.0,0.41,7.21
295.0,10325.0,10.1,1.24,7.26
300.0,10500.0,9.5,1.73,7.31
305.0,10675.0,8.5,0.88,7.35
310.0,10850.0,9.0,0.59,7.39
315.0,11025.0,9.5,-0.16,7.44
320.0,11200.0,8.4,0.02,7.48
325.0,11375.0,8.8,0.97,7.53
330.0,11550.0,9.5,0.88,7.58
335.0,11725.0,9.4,1.09,7.62
340.0,11900.0,10.1,0.49,7.67
345.0,12075.0,9.0,0.13,7.72
350.0,12250.0,9.4,1.0,7.76
355.0,12425.0,9.4,0.55,7.81
360.0,12600.0,10.4,0.2,7.86
365.0,12775.0,10.2,0.21,7.92
370.0,12950.0,9.7,-0.23,7.96
375.0,13125.0,9.9,0.81,8.01
380.0,13300.0,10.7,1.14,8.07
385.0,13475.0,10.3,0.92,8.12
390.0,13650.0,9.3,0.69,8.16
395.0,13825.0,10.2,0.3,8.22
400.0,14000.0,11.2,0.24,8.27
405.0,14175.0,10.4,0.68,8.32
410.0,14350.0,10.2,1.03,8.37
415.0,14525.0,10.4,1.31,8.43
420.0,14700.0,9.9,1.48,8.48
425.0,14875.0,10.5,0.76,8.53
430.0,15050.0,10.7,0.11,8.58
435.0,15225.0,9.3,-1.2,8.63
440.0,15400.0,10.9,2.78,8.68
445.0,15575.0,9.4,-2.53,8.73
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
