Time (s),t * EHF (kJ/m2),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
770.0,57750.0,168.5,8.05,156.23
775.0,58125.0,164.6,8.65,157.05
780.0,58500.0,163.0,7.43,157.86
785.0,58875.0,163.0,6.96,158.68
790.0,59250.0,159.3,8.86,159.48
795.0,59625.0,155.1,7.61,160.25
800.0,60000.0,153.7,7.93,161.02
805.0,60375.0,150.9,7.75,161.78
810.0,60750.0,145.9,4.7,162.5
815.0,61125.0,143.2,4.82,163.22
820.0,61500.0,137.6,4.41,163.91
825.0,61875.0,134.5,4.91,164.58
830.0,62250.0,127.0,6.69,165.22
835.0,62625.0,121.9,5.82,165.83
840.0,63000.0,116.6,4.74,166.41
845.0,63375.0,111.5,5.64,166.97
850.0,63750.0,107.0,4.66,167.5
855.0,64125.0,99.5,4.18,168.0
860.0,64500.0,94.7,3.56,168.47
865.0,64875.0,88.6,1.93,168.92
870.0,65250.0,80.8,3.06,169.32
875.0,65625.0,75.9,3.76,169.7
880.0,66000.0,70.5,4.19,170.05
885.0,66375.0,63.8,5.01,170.37
890.0,66750.0,59.5,2.48,170.67
895.0,67125.0,55.3,0.6,170.94
900.0,67500.0,50.5,-0.31,171.2
905.0,67875.0,46.7,-0.21,171.43
910.0,68250.0,44.6,1.75,171.65
915.0,68625.0,43.8,2.0,171.87
920.0,69000.0,40.9,1.31,172.08
925.0,69375.0,40.2,1.21,172.28
930.0,69750.0,38.5,1.57,172.47
935.0,70125.0,37.0,1.27,172.65
940.0,70500.0,37.0,1.51,172.84
945.0,70875.0,36.5,0.88,173.02
950.0,71250.0,34.9,0.99,173.2
955.0,71625.0,35.5,1.69,173.37
960.0,72000.0,33.1,1.28,173.54
965.0,72375.0,33.5,0.3,173.71
970.0,72750.0,33.1,0.46,173.87
975.0,73125.0,30.9,0.12,174.03
980.0,73500.0,30.9,0.42,174.18
985.0,73875.0,29.9,1.4,174.33
990.0,74250.0,30.2,1.68,174.48
995.0,74625.0,28.3,0.99,174.62
1000.0,75000.0,27.5,0.33,174.76
1005.0,75375.0,27.6,0.63,174.9
1010.0,75750.0,26.8,1.33,175.03
1015.0,76125.0,25.7,1.49,175.16
1020.0,76500.0,24.6,0.83,175.28
1025.0,76875.0,22.2,-0.37,175.4
1030.0,77250.0,22.7,0.86,175.51
1035.0,77625.0,22.0,1.5,175.62
1040.0,78000.0,20.8,1.18,175.72
1045.0,78375.0,20.8,1.06,175.83
1050.0,78750.0,19.2,-0.54,175.92
1055.0,79125.0,18.2,0.64,176.01
1060.0,79500.0,18.3,1.07,176.11
1065.0,79875.0,17.3,-1.78,176.19
1070.0,80250.0,17.0,2.14,176.28
1075.0,80625.0,16.3,1.37,176.36
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
