Time (s),HRR (kW/m2),MLR (g/s-m2),THR (MJ/m2)
260.0,225.6,16.88,45.17
265.0,224.7,18.47,46.29
270.0,222.3,18.85,47.4
275.0,225.7,17.73,48.53
280.0,228.5,17.7,49.67
285.0,231.3,18.06,50.83
290.0,232.4,18.52,51.99
295.0,234.8,18.25,53.16
300.0,234.9,17.33,54.34
305.0,230.0,16.91,55.49
310.0,224.9,18.01,56.61
315.0,227.5,18.49,57.75
320.0,223.8,18.09,58.87
325.0,223.4,17.44,59.99
330.0,220.2,15.99,61.09
335.0,215.8,17.38,62.17
340.0,212.5,18.61,63.23
345.0,212.6,18.29,64.29
350.0,210.2,17.14,65.34
355.0,208.9,15.78,66.39
360.0,209.6,15.9,67.44
365.0,209.0,15.72,68.48
370.0,205.0,15.2,69.51
375.0,204.9,14.92,70.53
380.0,200.4,15.1,71.53
385.0,198.6,14.73,72.52
390.0,194.2,13.03,73.5
395.0,188.6,12.68,74.44
400.0,188.6,11.89,75.38
405.0,182.1,11.76,76.29
410.0,177.7,12.26,77.18
415.0,170.0,11.94,78.03
420.0,170.2,12.14,78.88
425.0,166.1,11.01,79.71
430.0,160.3,10.46,80.51
435.0,158.1,10.27,81.3
440.0,152.9,9.3,82.07
445.0,141.7,8.5,82.78
450.0,137.6,7.84,83.47
455.0,134.1,8.27,84.14
460.0,126.2,8.37,84.77
465.0,124.1,7.11,85.39
470.0,116.4,6.55,85.97
475.0,111.1,5.99,86.52
480.0,106.5,5.8,87.06
485.0,101.4,4.92,87.56
490.0,97.9,4.09,88.05
495.0,94.0,4.37,88.52
500.0,89.4,4.03,88.97
505.0,85.3,3.48,89.4
510.0,83.5,3.06,89.81
515.0,78.9,3.25,90.21
520.0,75.6,3.4,90.59
525.0,73.5,2.76,90.95
530.0,70.5,2.05,91.31
535.0,70.4,2.45,91.66
540.0,69.5,2.6,92.01
545.0,64.9,1.41,92.33
550.0,61.1,0.73,92.64
555.0,55.1,1.1,92.91
560.0,48.4,5.15,93.15
565.0,41.0,-2.93,93.36
570.0,36.4,-0.04,93.54
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
