Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20956068,0.00041475,5.954e-05,-1.0267190079145472,0.02630666130318187,-0.0020469888637394845,100.91125049
1.0,0.20953932,0.00041779,7.802e-05,-0.33752686252516767,0.026189336351109378,6.48713597843842e-05,100.79471404
2.0,0.20958631,0.00041872,9.219e-05,-2.8451529901242196,0.026376853577363937,-0.0036204857232442892,100.8901666
3.0,0.20955824,0.00042214,9.805e-05,-1.610820568872174,0.026117726240506907,-0.0014300446013730777,101.13780655
4.0,0.20952529,0.0004296,9.892e-05,-0.13064594233628682,0.026179371662970623,-0.0014900439783177048,101.49278271
5.0,0.20956231,0.00053103,9.5e-05,-2.8376542832984746,0.026076581362513087,-0.001341675111965463,101.75115628
6.0,0.20953444,0.00289426,9.186e-05,-25.24295421498959,0.02622017574554967,-8.832537858204357e-05,101.42263083
7.0,0.20952682,0.00574463,8.633e-05,-53.325067248463434,0.02605241859806478,0.004499912131905256,101.01321989
8.0,0.20901102,0.00645041,9.31e-05,-34.14588388139742,0.02482570229839199,0.008605294343679558,101.47955735
9.0,0.20787163,0.00660501,9.141e-05,15.694015263368904,0.023852172936850647,0.015660377894873,100.91853402
10.0,0.20627674,0.0065266,8.748e-05,84.10465012895499,0.023340319527735767,0.01534692479428497,100.62086773
11.0,0.20500047,0.00634983,8.567e-05,140.86038002725886,0.02352036639863254,0.008120036214786698,100.27700853
12.0,0.20455352,0.00616165,8.952e-05,166.97941504499488,0.024321645709449533,0.009559483528441921,99.93717444
13.0,0.2043905,0.00603372,8.792e-05,176.81996071547076,0.02452903157363916,0.018462410974686063,99.91014872
14.0,0.2043304,0.00595226,9.003e-05,178.38995065077694,0.02428370007481503,0.03498075693403722,99.56111438
15.0,0.20419006,0.00589593,8.757e-05,183.19394421562623,0.024035500010745104,0.04838856607609802,99.55153079
16.0,0.20391426,0.00585046,8.849e-05,195.95318373139912,0.02408632840926739,0.0561505578247488,99.49652098
17.0,0.20370996,0.00580169,8.893e-05,206.42271396814508,0.024224413522367826,0.06293701329030649,99.247731
18.0,0.20358009,0.00572571,9.167e-05,210.12953273164175,0.023928919137666482,0.0736552120755682,99.40432685
19.0,0.20355304,0.00562023,9.851e-05,210.29900301431556,0.02372309462378555,0.07498114850132374,99.14039479
20.0,0.20353738,0.00550712,0.00010226,214.97987094088228,0.02406780233654239,0.07509628786744633,99.06123434
21.0,0.20354765,0.00538715,0.00010657,214.84933125180623,0.023991287003718414,0.08257734128568467,98.84790363
22.0,0.20363013,0.00527094,0.00011585,213.67657186155174,0.02416051382079799,0.08358322175218795,98.89428821
23.0,0.20372735,0.00516861,0.00011649,209.89674954735284,0.024108167182062133,0.08222826365756057,98.74900099
24.0,0.20387074,0.00506865,0.00011081,205.0573208290344,0.024156229935625825,0.0875991536180113,98.57994647
25.0,0.20396308,0.00497456,0.00011885,201.11234728519744,0.024078501394758114,0.08078537511739822,98.60505547
26.0,0.20405959,0.00486559,0.00012612,198.92906691001227,0.02421719476016301,0.08410611471486004,98.4465429
27.0,0.20413921,0.00475399,0.00012163,198.49923572439926,0.02446076754210853,0.08812523211327418,98.38980804
28.0,0.20428494,0.00462789,0.00011311,194.59005422983418,0.02461786323913474,0.08960305597113614,98.24701256
29.0,0.20448559,0.00448907,0.00010414,183.77391866421164,0.024181291967019063,0.09432287352892993,98.13066778
30.0,0.20471043,0.00434485,0.00010554,175.99794650705437,0.024285194793220572,0.09251048262439442,97.99343077
31.0,0.2048761,0.00418976,0.00010502,171.63971563571707,0.024498191886356713,0.09666623707379543,97.80118396
32.0,0.20507837,0.00404572,0.000104,163.89291792490116,0.02447834875631246,0.09105056499831476,97.75249933
33.0,0.20521393,0.00390513,9.996e-05,160.7763249932621,0.02471378547595835,0.09107450291870586,97.79428378
34.0,0.20535579,0.00376951,9.292e-05,155.66011475618814,0.024691287862361442,0.08648617938406945,97.73141543
35.0,0.20574691,0.00366322,8.428e-05,138.77537977482675,0.02459425598942654,0.07968247670912541,97.74406577
36.0,0.20573552,0.00357403,8.834e-05,139.79714462820485,0.024551831594331146,0.06865824511096286,97.53552685
37.0,0.20591044,0.00349157,8.483e-05,132.81413867665032,0.024546635154841605,0.06384415133777978,97.59667016
38.0,0.20602189,0.00342773,8.483e-05,128.09807161075162,0.024479021316382837,0.05865606609006452,97.34826351
39.0,0.2060761,0.00338435,8.684e-05,127.3371665999908,0.024726235398512236,0.055100436025382865,97.41994876
40.0,0.20615084,0.00336328,9.288e-05,123.42620047919792,0.02459290253199552,0.05486927126984108,97.3490302
41.0,0.20616864,0.0033439,9.911e-05,122.70328583846171,0.02459011950597406,0.04853508590796314,97.36589732
42.0,0.20619539,0.00332416,0.00010502,121.97958664255299,0.024666027898324835,0.04573864887184469,97.20949313
43.0,0.20617617,0.0032977,0.00010535,121.84621268398598,0.024419379604615377,0.04710211792768526,97.07608956
44.0,0.20619193,0.00327109,0.00010747,123.99923488574127,0.024950254471966745,0.047899722718057765,96.97392849
45.0,0.2062022,0.00326461,0.00010578,121.69848117397576,0.02456198432891099,0.05040072766596592,96.9378942
46.0,0.20622854,0.00326151,0.00010636,119.28879585225592,0.02430557455622903,0.046237647077909866,96.8733008
47.0,0.20622447,0.00325526,0.00010769,120.12285474333794,0.024431311773285874,0.0419449732093787,96.90818507
48.0,0.20623851,0.00324192,0.00010628,120.064861934897,0.024516941979642215,0.04329032012999761,96.66284517
49.0,0.20624501,0.00322331,0.00010316,120.05849530881349,0.024529936501158273,0.045298879211106584,96.72092173
50.0,0.20626708,0.00321061,9.649e-05,120.05464851311275,0.0246857111899198,0.045048636499246106,96.71900501
51.0,0.20624725,0.00320232,9.582e-05,120.71290445233448,0.024621527204541995,0.0443975607662782,96.59250162
52.0,0.20627857,0.0031991,9.587e-05,119.89783588401997,0.024735352477287052,0.04163979468668468,96.60361859
53.0,0.20629627,0.00318449,9.957e-05,118.94524583921073,0.024685839245939572,0.04347496395040903,96.2814183
54.0,0.20630064,0.00317267,0.0001036,118.9607114470303,0.024719770492177964,0.04188179783241605,96.35674531
55.0,0.2062864,0.00316739,0.00010523,118.68101583748174,0.02452537407741696,0.0440863319301151,96.24078388
56.0,0.20637274,0.00315669,9.249e-05,114.66660746947517,0.02442445494304801,0.046184387228163336,96.27815988
57.0,0.20635484,0.00314016,8.755e-05,115.36760483374407,0.0243575398047636,0.04169674601941098,96.14916476
58.0,0.20636003,0.00312819,8.696e-05,115.6317587514985,0.02443674533122679,0.03843188232810222,96.17350708
59.0,0.20634,0.00312124,8.619e-05,117.5086636226774,0.024628620807977317,0.037936343637828725,95.99851073
60.0,0.20639084,0.00311933,8.717e-05,113.78808675437837,0.024317375945596922,0.037355113900999756,96.04259524
61.0,0.20638505,0.00312174,9.594e-05,115.40617399402024,0.02464146397921023,0.03641781274617687,95.7683129
62.0,0.20636217,0.00311969,0.00010409,116.15784151433341,0.02460692322884444,0.037894503874575346,95.82619778
63.0,0.20636634,0.00311,0.00010196,115.75300732024247,0.024534634886096102,0.038018445571234,95.80453887
64.0,0.20636725,0.00310264,0.00010517,117.28414820032377,0.024863838786787214,0.036506949478151314,95.69566929
