Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20694539,0.00089723,2.179e-05,1011.4707621562272,0.029087455200406145,-0.009915100218273095,144.03957206,-267.32620015
1.0,0.20696125,0.00089227,2.453e-05,1012.1607518476403,0.029107457976617398,-0.012761443389322873,143.21088801,-267.38483616
2.0,0.20688297,0.00085981,1.981e-05,1008.4851321838871,0.029000606162678966,-0.0121519241469695,147.75289595,-267.32105998
3.0,0.20684831,0.00085115,2.102e-05,1010.9182614501769,0.0290700114180276,-0.009790774837886334,150.2192848,-267.23101181
4.0,0.20691815,0.00083134,2.635e-05,1003.3400124714257,0.028852940127592062,-0.009046356595125114,145.1643764,-267.5942505
5.0,0.20695434,0.00082691,2.79e-05,1006.2355558728262,0.028936691445715475,-0.00960359949669282,143.49596253,-267.37626921
6.0,0.20691408,0.00085196,2.645e-05,1004.7791277245581,0.02889432541264622,-0.008657057046092376,145.36030276,-267.47793036
7.0,0.20693411,0.00091547,2.225e-05,1005.1459704147079,0.028905449819365995,-0.008038073094720719,143.56912771,-267.46384248
8.0,0.20691713,0.00089674,1.804e-05,1000.2631324419573,0.028764816409856928,-0.007482726680084052,144.16749569,-267.38731106
9.0,0.20689578,0.00088607,2.304e-05,1007.8586789970535,0.028982791043875376,-0.008316113816591203,146.5413825,-267.54341993
10.0,0.2069089,0.00084475,2.935e-05,1003.0748519090082,0.028845156837934528,-0.008045424097055123,145.45589721,-267.43814163
11.0,0.20690524,0.00081539,3.201e-05,997.0359244830341,0.028671299532139566,-0.0071953865124122305,145.09235126,-267.33952651
12.0,0.20686864,0.00085309,2.718e-05,1001.0363750875641,0.028786020171641273,-0.004859305726265552,147.44847857,-267.41301191
13.0,0.20691774,0.00088273,2.017e-05,999.3770064743363,0.028739255621048877,-0.004631559010157227,144.14997732,-267.36789264
14.0,0.20690788,0.00093702,2.371e-05,996.431042844794,0.02865448376662393,-0.004818097886362493,143.57720101,-267.49506426
15.0,0.20690188,0.00092071,2.814e-05,1009.4818986557681,0.029029556481243536,-0.004523984099450612,145.92212008,-267.3298173
16.0,0.20691672,0.00093698,2.225e-05,1008.9542433743343,0.029014775854816235,-0.001980434598443789,144.90357306,-267.43642824
17.0,0.20691713,0.00094829,1.226e-05,1002.9396385982619,0.028842063616522536,0.0006344747781018838,144.08497453,-267.50572535
18.0,0.20691764,0.00091853,1.297e-05,1012.1807346369566,0.02910771613249414,0.0016322186657528816,145.72992618,-267.43147845
19.0,0.20697477,0.00087894,1.525e-05,997.5428194383184,0.028687430692635775,0.003113652941040099,140.74631504,-267.26413735
20.0,0.2069643,0.00086505,1.38e-05,1001.7974530169329,0.028809621640861708,0.006864755444242388,142.14789029,-267.30906625
21.0,0.20693838,0.00083907,2.092e-05,994.8841724722089,0.028610206908630652,0.005003631754202498,142.82730906,-267.31953696
22.0,0.2068664,0.00086557,2.633e-05,1007.6466702601332,0.028976130363753103,0.005938401554916569,148.42633823,-267.25119174
23.0,0.20693045,0.00087781,2.011e-05,1000.1478983202448,0.02876159600044608,0.0035625042707188173,143.58702942,-267.36389473
24.0,0.20691113,0.00088506,1.444e-05,998.496855126771,0.028713976355464525,0.002317140637203167,144.49530162,-267.40596797
25.0,0.20695586,0.00091478,1.427e-05,1002.568821686326,0.028831821853662724,0.0013188359950526986,142.12900339,-267.33743237
26.0,0.20693329,0.000894,8.65e-06,996.1072544164842,0.028645728314210483,-0.0016420055256545908,142.87698317,-267.46688851
27.0,0.20692597,0.0008961,1.149e-05,1000.6254352907592,0.028775500384166954,-0.0026385029985631662,143.86645292,-267.32010809
28.0,0.20690625,0.0009029,1.486e-05,999.5048021370035,0.0287429359648209,-0.002951301379127002,144.6982559,-267.27689259
29.0,0.20690117,0.00089876,1.272e-05,999.8795497858778,0.028753671202508452,-0.0040855081127337866,145.14100782,-267.46308097
30.0,0.20695159,0.00089839,1.704e-05,990.2315455253872,0.028476858708667226,-0.008101344521289413,140.76812602,-267.43738013
31.0,0.20693746,0.00090782,1.607e-05,1006.7193029912168,0.02895085190198302,-0.008230761789011805,143.84483996,-267.44480482
32.0,0.2068967,0.00087802,8.35e-06,991.490350229045,0.028512386492676588,-0.008424715320480261,144.52259562,-267.3069721
33.0,0.20695068,0.00089328,1.131e-05,992.168921949736,0.028532664697756303,-0.007925364794525694,141.27888267,-267.51048477
34.0,0.20689182,0.00091116,1.409e-05,999.5249829154013,0.028743347171758773,-0.01006772122999105,145.46578471,-267.44823159
35.0,0.20691103,0.00087745,1.339e-05,994.5296006624486,0.028599886928479368,-0.010615895545690038,144.04620483,-267.41548681
36.0,0.20692109,0.00088353,1.798e-05,998.2681953918575,0.02870746658890029,-0.011953630271746736,143.83806523,-267.35780268
37.0,0.20689365,0.00086634,1.896e-05,1003.8883391890721,0.02886861213438792,-0.009979986878814186,146.42946795,-267.34790309
38.0,0.20694773,0.00086779,1.618e-05,997.1855696070284,0.028676710871353362,-0.011245497378088058,142.35857731,-267.27555995
39.0,0.20693065,0.00091044,1.173e-05,994.6664746707535,0.028604241359139592,-0.010737169854361297,142.55987666,-267.4653655
40.0,0.20693685,0.00093621,1.328e-05,1003.6488816293252,0.028862689984279488,-0.011785688001006002,143.14056646,-267.30887587
41.0,0.20687515,0.00091974,1.891e-05,991.1333020489344,0.028501711591613074,-0.013678612935278885,144.97913553,-267.38426503
42.0,0.20690757,0.00094471,2.181e-05,997.3228370345117,0.028680187781253558,-0.014967926121274825,143.64495363,-267.35647004
43.0,0.2068971,0.00094012,2.54e-05,1002.8171437997129,0.028837945670230892,-0.012280917325636867,145.02352969,-267.26394697
44.0,0.20687677,0.00090057,2.378e-05,993.2595687924137,0.02856271998938489,-0.012282688301367617,145.30880961,-267.37588846
45.0,0.20689161,0.00086138,1.678e-05,990.8667526098066,0.028494154246528052,-0.011762294086233404,144.71004831,-267.40634873
46.0,0.206866,0.00090214,1.175e-05,998.8746731371134,0.028724292188781923,-0.010610324778745713,146.97280299,-267.40596797
47.0,0.20687281,0.00093734,9.6e-06,1002.275993255215,0.028822354260063188,-0.010218757573739983,146.69508515,-267.31077964
48.0,0.20686396,0.0009619,1.391e-05,990.6611282248747,0.028488202300825688,-0.010782889384850093,145.12373982,-267.39530688
49.0,0.2069151,0.00095381,1.822e-05,999.1726629475858,0.028733596280993656,-0.008627149624190592,143.42011226,-267.31953696
50.0,0.20682289,0.00088816,1.376e-05,996.1443011361517,0.028645065127130484,-0.01229628794024585,149.18046161,-267.3012608
51.0,0.20689446,0.00089586,6.9e-06,994.6886605187381,0.02860441210934766,-0.011427905301571355,144.88560972,-267.41377342
52.0,0.20687189,0.00092091,4.37e-06,999.0531723083461,0.028729723095293716,-0.009781706387562544,146.57956243,-267.41700982
53.0,0.20688328,0.00093106,6.09e-06,995.0071716150934,0.028613532119664185,-0.009926013190561933,145.17458989,-267.43718975
54.0,0.20688795,0.00094672,6.34e-06,991.8140150922147,0.0285218153596368,-0.009069556488080959,144.24883499,-267.34200141
55.0,0.20691916,0.00091962,6.39e-06,997.9467323158802,0.0286985466096688,-0.008028472927392727,143.65939103,-267.5877777
56.0,0.20686529,0.00090842,1.523e-05,993.5883290545482,0.02857221028571595,-0.011291063480874417,146.08922268,-267.34999723
57.0,0.20683479,0.00091607,1.267e-05,989.4469678730247,0.02845275493833506,-0.012577509810869664,147.18705921,-267.40615835
58.0,0.2068787,0.00092364,9.56e-06,988.0409404250865,0.028413043040862056,-0.009789225021921815,144.43578798,-267.44823159
59.0,0.20684404,0.00092143,1.095e-05,998.0278658973007,0.02869969614835866,-0.007071223958707378,147.89728231,-267.47735923
60.0,0.2068906,0.00088651,1.6e-05,988.6759228333989,0.02843122970338611,-0.009805704602834902,144.15692059,-267.2833654
61.0,0.20687982,0.00087395,2.028e-05,990.3397378089176,0.028478793241608957,-0.009568213573713319,145.08071356,-267.45908306
62.0,0.20692679,0.0008458,2.325e-05,1000.4866196343305,0.028771120471575626,-0.00786180522792564,144.12245313,-267.40939475
63.0,0.20688318,0.00085293,2.653e-05,995.6988476404515,0.02863275738111388,-0.00892805528524066,145.79697311,-267.30335495
64.0,0.20691469,0.00084527,2.925e-05,992.6101634692865,0.02854431401900447,-0.010214909350398987,143.56918976,-267.45222951
65.0,0.20690981,0.00083778,3.133e-05,997.3730136348072,0.028681141216037737,-0.007435224101645561,144.58866063,-267.24928797
